Model,tsne_silhouette_true,tsne_silhouette_pred,accuracy_pct,umap_silhouette_true,umap_silhouette_pred
ESM-2,0.2604,0.3964,85.33,0.2676,0.3457
ProtBERT,0.2367,0.36,84.8,0.1288,0.2004
ProtT5,0.3156,0.4283,88.89,0.3333,0.4612
